"ano";"periodo";"moeda";"key";"value";"var"
"58";"1915";1915-06-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";291;0.932692307692308
"59";"1915";1915-09-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";301;1.03436426116838
"60";"1915";1915-12-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";311;1.03322259136213
"61";"1916";1916-03-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";312;1.0032154340836
"62";"1916";1916-06-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";349;1.11858974358974
"63";"1916";1916-09-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";333;0.954154727793696
"64";"1916";1916-12-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";299;0.897897897897898
"65";"1917";1917-03-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";291;0.973244147157191
"66";"1917";1917-06-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";296;1.01718213058419
"67";"1917";1917-09-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";340;1.14864864864865
"68";"1917";1917-12-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";356;1.04705882352941
"69";"1918";1918-03-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";402;1.12921348314607
"70";"1918";1918-06-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";463;1.15174129353234
"71";"1918";1918-09-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";425;0.91792656587473
"72";"1918";1918-12-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";464;1.09176470588235
"73";"1919";1919-03-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";496;1.06896551724138
"74";"1919";1919-06-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";469;0.945564516129032
"75";"1919";1919-09-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";431;0.918976545842217
"76";"1919";1919-12-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";512;1.18793503480278
"77";"1920";1920-03-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";506;0.98828125
"78";"1920";1920-06-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";606;1.19762845849802
"79";"1920";1920-09-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";659;1.08745874587459
"80";"1920";1920-12-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";732;1.11077389984826
"81";"1921";1921-03-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";837;1.14344262295082
"82";"1921";1921-06-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";788;0.941457586618877
"83";"1921";1921-09-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";676;0.857868020304569
"84";"1921";1921-12-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";727;1.07544378698225
"85";"1922";1922-03-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";577;0.793672627235213
"86";"1922";1922-06-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";646;1.11958405545927
"87";"1922";1922-09-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";494;0.764705882352941
"88";"1922";1922-12-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";563;1.13967611336032
"89";"1923";1923-03-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";542;0.962699822380107
"90";"1923";1923-06-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";609;1.12361623616236
"91";"1923";1923-09-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";480;0.788177339901478
"92";"1923";1923-12-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";561;1.16875
"93";"1924";1924-03-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";548;0.976827094474153
"94";"1924";1924-06-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";453;0.826642335766423
"95";"1924";1924-09-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";507;1.11920529801324
"96";"1924";1924-12-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";574;1.13214990138067
"97";"1925";1925-03-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";533;0.928571428571429
"98";"1925";1925-06-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";535;1.00375234521576
"99";"1925";1925-09-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";540;1.00934579439252
"100";"1925";1925-12-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";517;0.957407407407407
"101";"1926";1926-03-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";448;0.866537717601547
"102";"1926";1926-06-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";598;1.33482142857143
"103";"1926";1926-09-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";679;1.13545150501672
"104";"1926";1926-12-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";450;0.662739322533137
"105";"1927";1927-03-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";538;1.19555555555556
"106";"1927";1927-06-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";503;0.934944237918216
"107";"1927";1927-09-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";471;0.936381709741551
"108";"1927";1927-12-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";549;1.1656050955414
"109";"1928";1928-03-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";444;0.808743169398907
"110";"1928";1928-06-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";553;1.2454954954955
"111";"1928";1928-09-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";480;0.867992766726944
"112";"1928";1928-12-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";540;1.125
"113";"1929";1929-03-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";458;0.848148148148148
"114";"1929";1929-06-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";460;1.00436681222707
"115";"1929";1929-09-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";571;1.24130434782609
"116";"1929";1929-12-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";579;1.01401050788091
"117";"1930";1930-03-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";534;0.922279792746114
